created,text,retwc,hashtag,followers,friends
2017-12-06 14:19:45,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,513,2259
2017-12-06 14:19:41,b'RT @AadhaarLies: @_PrivacyRight @_GroundReality @AadhaarLaw @digitalindialaw @ScrapAadhaar @_CEPHRC @_PTLB @Praveen_Dalal @advocategeeta If\xe2\x80\xa6',10,None,0,0
2017-12-06 14:19:30,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,39406,2156
2017-12-06 14:19:18,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,5436,1857
2017-12-06 14:19:00,"b""@ShirishKunder I guess that's called demonetisation...""",0,None,117,437
2017-12-06 14:18:50,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,76,24
2017-12-06 14:18:28,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,5338,300
2017-12-06 14:17:46,b'What did demonetisation do to domestic agricultural markets?',0,None,734,600
2017-12-06 14:17:12,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,30943,14715
2017-12-06 14:16:43,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,289,292
2017-12-06 14:16:37,b'RT @myvotetoday: Every @INCIndia leader &amp; #SpokesPidi has been barking that @BJP4India won Assembly elections as people had not understood\xe2\x80\xa6',33,SpokesPidi,587,1733
2017-12-06 14:16:26,b'RT @rkbnow: As if demonetisation was not enough!\nNow we could LOSE all our hard earned money deposited in banks. \nThis new Nightmarish Law\xe2\x80\xa6',29,None,17687,2304
2017-12-06 14:15:45,b'Why the Current Rate of Economic Growth Is a Flawed Indicator of Ground Realities https://t.co/NXVwCh2YuH via @thewire_in',0,None,1793,4608
2017-12-06 14:15:31,b'RT @abrar_star1: @JAMILAHMEDKANSA @OfficeOfRG @INCIndia @yadavakhilesh @INCGujarat @PMOIndia i do not believe tht demonetisation &amp; GST will\xe2\x80\xa6',1,None,17,194
2017-12-06 14:15:26,"b'I liked a @YouTube video https://t.co/QeSrh06aAE Spiderman And elsa (Elsagate,net neutrality,demonetisation,ACOTI)'",0,None,17,40
2017-12-06 14:14:08,"b'RT @GauravPandhi: All said &amp; done, what affects the Hindus &amp; the Muslims &amp; everyone more than anything is \xe2\x80\x94\n\nUnemployment\nPrice Rise\nGST\nDe\xe2\x80\xa6'",212,None,162,85
2017-12-06 14:13:36,b'RT @Haaris95: @OfficeOfRG When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nW\xe2\x80\xa6',17,None,16,20
2017-12-06 14:13:03,b'RT @Haaris95: @OfficeOfRG When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nW\xe2\x80\xa6',17,None,652,173
2017-12-06 14:12:52,"b""RT @i_me_my5elf: Kapil Sibal has ensured that EVM's can be hacked in an aggressive way as all of a sudden Gujaratis forgot Naliya Rape, Une\xe2\x80\xa6""",10,None,260,235
2017-12-06 14:12:41,b'RT @Haaris95: @OfficeOfRG When vikas fails\nWhen casteism fails\nWhen soldier fails\nWhen cow fails\nWhen demonetisation fails\nWhen GST fails\nW\xe2\x80\xa6',17,None,164,177
2017-12-06 14:12:32,b'RT @KPadmaRani1: Every Indian Must Watch\nLoot Loot and Loot Govt.... \n#Demonetisation part 2\n#BJPMoneyLaunderingScam https://t.co/AqdnVM5oDQ',23,Demonetisation,1113,1116
2017-12-06 14:11:47,"b'RT @INCIndia: After the self-inflicted wounds of #demonetisation and #GabbarSinghTax, @FitchRatings confirm that the marginal recovery of t\xe2\x80\xa6'",301,demonetisation,260,235
2017-12-06 14:11:34,b'RT @DrSaniaMaan: Deen Dayal Upadhyay Ittefaq Yojna:\n\n1) All malfunctioned EVMs voting for BJP.\n\n2) ED raided Mahesh Shah just before he was\xe2\x80\xa6',334,None,35,187
